run_id,task_id,task_name,task_type,category,difficulty,system_group,system,ES,SC,PHR,CRSC,TV,SCH,MCS,output_path,notes
1,R001,Hospital service areas,buffer_service_area,Vector basic,easy,baseline,basic_gis_copilot,1,0.625,0.6667,0.3333,1.0,0.0,,experiments/04_geo_faithfulness_evaluator/outputs/geoguard_v2_run/task_outputs/run_1/basic_gis_copilot/R001/buffer_output.gpkg,Geographic CRS used without safe metric reprojection. CRS mismatch without safe alignment. Missing required output fields.
1,R002,Flood exposure overlay,overlay_intersection,Vector advanced,medium,baseline,basic_gis_copilot,1,1.0,1.0,0.0,1.0,1.0,,experiments/04_geo_faithfulness_evaluator/outputs/geoguard_v2_run/task_outputs/run_1/basic_gis_copilot/R002/overlay_output.gpkg,CRS mismatch without safe alignment.
1,R003,Count schools per tract,point_count_join,Vector basic,easy,baseline,basic_gis_copilot,1,1.0,1.0,0.0,1.0,1.0,,experiments/04_geo_faithfulness_evaluator/outputs/geoguard_v2_run/task_outputs/run_1/basic_gis_copilot/R003/point_count_join_output.gpkg,CRS mismatch without safe alignment.
1,R004,Clip temperature raster,raster_clip,Raster basic,medium,baseline,basic_gis_copilot,1,0.6667,1.0,0.0,1.0,1.0,,experiments/04_geo_faithfulness_evaluator/outputs/geoguard_v2_run/task_outputs/run_1/basic_gis_copilot/R004/raster_clip_output.tif,Raster/mask CRS mismatch without safe alignment.
1,R005,Zonal statistics over census tracts,zonal_statistics,Raster-vector fusion,medium,baseline,basic_gis_copilot,1,1.0,1.0,0.0,1.0,1.0,,experiments/04_geo_faithfulness_evaluator/outputs/geoguard_v2_run/task_outputs/run_1/basic_gis_copilot/R005/zonal_stats_output.gpkg,Zonal statistics CRS mismatch without safe alignment.
1,R006,Choropleth export,choropleth_export,Visualization,hard,baseline,basic_gis_copilot,1,1.0,0.0,1.0,1.0,1.0,3.0,experiments/04_geo_faithfulness_evaluator/outputs/geoguard_v2_run/task_outputs/run_1/basic_gis_copilot/R006/choropleth.png,Plain map export without map critic.
1,R001,Hospital service areas,buffer_service_area,Vector basic,easy,baseline,planner_reflector,1,0.625,0.0,1.0,1.0,0.0,,experiments/04_geo_faithfulness_evaluator/outputs/geoguard_v2_run/task_outputs/run_1/planner_reflector/R001/buffer_output.gpkg,Reprojected to EPSG:3857. Aligned both layers to EPSG:3857. Missing required output fields.
1,R002,Flood exposure overlay,overlay_intersection,Vector advanced,medium,baseline,planner_reflector,1,1.0,0.0,1.0,1.0,1.0,,experiments/04_geo_faithfulness_evaluator/outputs/geoguard_v2_run/task_outputs/run_1/planner_reflector/R002/overlay_output.gpkg,Aligned both layers to EPSG:3857.
1,R003,Count schools per tract,point_count_join,Vector basic,easy,baseline,planner_reflector,1,1.0,0.0,1.0,1.0,1.0,,experiments/04_geo_faithfulness_evaluator/outputs/geoguard_v2_run/task_outputs/run_1/planner_reflector/R003/point_count_join_output.gpkg,Aligned both layers to EPSG:3857.
1,R004,Clip temperature raster,raster_clip,Raster basic,medium,baseline,planner_reflector,1,0.6667,0.0,1.0,1.0,1.0,,experiments/04_geo_faithfulness_evaluator/outputs/geoguard_v2_run/task_outputs/run_1/planner_reflector/R004/raster_clip_output.tif,Reprojected mask to raster CRS before clipping.
